,,SUBDUE FILE,SUBGRAPH,NAME,COMENTARIOS
ACM,http://datahub.io/dataset/rkb-explorer-acm,,,acm,Está con el método viejo pero sirve para hacer pruebas
AEMET,http://datahub.io/dataset/aemet,,,aemet,
amsterdam-museum-as-edm-lod,http://datahub.io/dataset/amsterdam-museum-as-edm-lod,,,amsterdam,
archiveshub,http://datahub.io/dataset/archiveshub-linkeddata,,,archiveshub,No se puede almacenar un string de 7652 chars en Jena
b3kat,http://datahub.io/dataset/b3kat,,,*,
bfs,http://datahub.io/dataset/bfs-linked-data,,,bfs,
bio2rdf-goa,http://datahub.io/dataset/bio2rdf-goa,,,*,
bio2rdf-ncbigene,http://datahub.io/dataset/bio2rdf-ncbigene,,,*,
bluk-bnb,http://datahub.io/dataset/bluk-bnb,,,*,
britishmuseum,http://datahub.io/dataset/british-museum-collection,,,,"ocupa una burrada y además no tiene enlaces en datahub, yo lo excluía"
Budapest,http://datahub.io/dataset/rkb-explorer-budapest,,,budapest,
chem2bio2rdf,http://datahub.io/dataset/chem2bio2rdf,,,*,
chembl,http://datahub.io/dataset/farmbio-chembl,,,*,hay entrar en lo de dataverse oeso
Citeseer,http://datahub.io/dataset/rkb-explorer-citeseer,,,citeseer,
cnr,http://datahub.io/dataset/data-cnr-it,,,cnr,
Colinda,http://datahub.io/dataset/colinda,,,colinda,
Cordis,http://datahub.io/dataset/rkb-explorer-cordis,,,cordis,
Corruption Perception Index,http://datahub.io/dataset/transparency-linked-data,,,corruption,
Courseware,http://datahub.io/dataset/rkb-explorer-courseware,,,courseware,
court,http://datahub.io/dataset/courts-thesaurus,,,court,
crime,http://datahub.io/dataset/rkb-explorer-crime,,,crime,
curriculum,http://datahub.io/dataset/rkb-explorer-curriculum,,,curriculum,
DailyMed,http://datahub.io/dataset/fu-berlin-dailymed,,,,el volcado está caído y va sobre d2r. Muerte
darmstadt,http://datahub.io/dataset/rkb-explorer-darmstadt,,,darmstadt,
datos-bne-es,http://datahub.io/dataset/datos-bne-es,,,*,
DBLP,http://datahub.io/dataset/rkb-explorer-dblp,,,dblp,
dbtropes,http://datahub.io/dataset/dbtropes,,,*,
dcs,http://datahub.io/dataset/dcs-sheffield,,,dcs,
ddc,http://datahub.io/dataset/dewey_decimal_classification,,,ddc,
deepblue,http://datahub.io/dataset/rkb-explorer-deepblue,,,deepblue,
